func	prec	M	N	time[sec]	perf[GFLOPS]	perf[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	6.9328e-05	14.4242	173.09	
matadd(Dense,Dense,Dense)	float	2000	2000	0.00172324	2.32121	27.8545	
matadd(Dense,Dense,Dense)	float	3000	3000	0.00849059	1.06	12.72	
matadd(Dense,Dense,Dense)	float	4000	4000	0.016309	0.981055	11.7727	
matadd(Dense,Dense,Dense)	float	5000	5000	0.0261413	0.956342	11.4761	
matadd(Dense,Dense,Dense)	float	6000	6000	0.0379248	0.949246	11.391	
matadd(Dense,Dense,Dense)	float	7000	7000	0.0531391	0.922109	11.0653	
matadd(Dense,Dense,Dense)	float	8000	8000	0.0531554	1.20402	14.4482	
matadd(Dense,Dense,Dense)	float	9000	9000	0.0691006	1.1722	14.0664	
matadd(Dense,Dense,Dense)	float	10000	10000	0.0726594	1.37628	16.5154	
matadd(Dense,Dense,Dense)	double	1000	1000	0.000119907	8.3398	200.155	
matadd(Dense,Dense,Dense)	double	2000	2000	0.00755372	0.529541	12.709	
matadd(Dense,Dense,Dense)	double	3000	3000	0.0162151	0.555037	13.3209	
matadd(Dense,Dense,Dense)	double	4000	4000	0.0317652	0.503696	12.0887	
matadd(Dense,Dense,Dense)	double	5000	5000	0.0412974	0.605365	14.5288	
matadd(Dense,Dense,Dense)	double	6000	6000	0.0747261	0.481759	11.5622	
matadd(Dense,Dense,Dense)	double	7000	7000	0.0946316	0.517797	12.4271	
matadd(Dense,Dense,Dense)	double	8000	8000	0.104715	0.611184	14.6684	
matadd(Dense,Dense,Dense)	double	9000	9000	0.107937	0.750438	18.0105	
matadd(Dense,Dense,Dense)	double	10000	10000	0.09734	1.02733	24.6558	
