func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.00243917	66.416
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.00551235	66.1242
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.0100207	64.6661
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.0210425	48.1169
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.0537607	27.1202
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.015302	10.5868
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0335408	10.8674
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0647673	10.005
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.0878886	11.5203
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.132764	10.9819
