func	kind	prec	M	N	time[sec]
convert(COO,CRS)	CRS	float	10000	10000	0.00658923
convert(COO,CRS)	CRS	float	20000	20000	0.0122272
convert(COO,CRS)	CRS	float	30000	30000	0.0233405
convert(COO,CRS)	CRS	float	40000	40000	0.0309163
convert(COO,CRS)	CRS	float	50000	50000	0.0384409
convert(COO,CRS)	CRS	float	60000	60000	0.0449026
convert(COO,CRS)	CRS	float	70000	70000	0.0532285
convert(COO,CRS)	CRS	float	80000	80000	0.0598329
convert(COO,CRS)	CRS	float	90000	90000	0.0673713
convert(COO,CRS)	CRS	float	100000	100000	0.0739464
convert(COO,CRS)	CRS	double	10000	10000	0.00497096
convert(COO,CRS)	CRS	double	20000	20000	0.013293
convert(COO,CRS)	CRS	double	30000	30000	0.0283696
convert(COO,CRS)	CRS	double	40000	40000	0.0378097
convert(COO,CRS)	CRS	double	50000	50000	0.0472351
convert(COO,CRS)	CRS	double	60000	60000	0.0622403
convert(COO,CRS)	CRS	double	70000	70000	0.0726429
convert(COO,CRS)	CRS	double	80000	80000	0.0820409
convert(COO,CRS)	CRS	double	90000	90000	0.0924323
convert(COO,CRS)	CRS	double	100000	100000	0.102836
