func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.00244618	66.2257
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.00550258	66.2417
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.0100308	64.6013
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.0206886	48.9401
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.0542813	26.8601
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0156565	10.3471
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0332712	10.9554
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0639214	10.1374
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.0866622	11.6833
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.126046	11.5672
