func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00860879	232.321
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0167074	404.011
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.0316923	504.855
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0641725	486.969
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.106474	507.165
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.16109	532.311
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.248161	515.794
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.34348	530.598
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.472383	529.232
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0153473	130.316
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0270654	249.396
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.0654177	244.582
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.139885	223.397
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.210857	256.097
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	0.326329	262.771
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	0.474661	269.666
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	0.66676	273.337
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	0.922727	270.936
