func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00827562	241.674
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0266436	253.344
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.062385	256.472
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.124876	250.249
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.213066	253.442
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.343621	249.548
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.485325	263.741
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.712648	255.736
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.990241	252.464
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.01618	123.61
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0558426	120.876
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.127908	125.09
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.257383	121.414
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.438091	123.262
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	0.699942	122.51
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.01521	126.082
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	1.49161	122.184
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	2.01028	124.361
