func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00837932	238.683
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.00455937	1480.47
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.00868151	1843
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0155647	2007.75
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0256469	2105.52
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.0412278	2079.91
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.0604796	2116.42
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0878835	2073.77
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.121373	2059.76
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0272491	73.3969
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0874618	77.1766
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.206916	77.3262
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.402535	77.633
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.675774	79.9084
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.07844	79.5131
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.60837	79.5837
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.29547	79.3953
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.15251	79.3018
