func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.03343	4.84594
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.0481226	7.5744
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.100353	6.45719
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.131117	7.7221
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.163973	8.89168
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0276779	5.85304
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0462613	7.87915
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0686412	9.44039
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.0957177	10.578
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.127607	11.4257
