func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.00228562	0.437517	3.50014
mscal(Dense)	float	2000	2000	0.00603935	0.662323	5.29858
mscal(Dense)	float	3000	3000	0.012071	0.745592	5.96473
mscal(Dense)	float	4000	4000	0.0190333	0.840631	6.72505
mscal(Dense)	float	5000	5000	0.0267535	0.934458	7.47566
mscal(Dense)	float	6000	6000	0.0382948	0.940076	7.52061
mscal(Dense)	float	7000	7000	0.0512603	0.955905	7.64724
mscal(Dense)	float	8000	8000	0.0670003	0.955219	7.64175
mscal(Dense)	float	9000	9000	0.0859275	0.942655	7.54124
mscal(Dense)	float	10000	10000	0.10491	0.953199	7.6256
mscal(Dense)	double	1000	1000	0.00214785	0.465582	7.44931
mscal(Dense)	double	2000	2000	0.00616616	0.648702	10.3792
mscal(Dense)	double	3000	3000	0.0129171	0.69675	11.148
mscal(Dense)	double	4000	4000	0.0222441	0.719293	11.5087
mscal(Dense)	double	5000	5000	0.0344469	0.725754	11.6121
mscal(Dense)	double	6000	6000	0.0493201	0.729926	11.6788
mscal(Dense)	double	7000	7000	0.0664641	0.737241	11.7958
mscal(Dense)	double	8000	8000	0.0865769	0.739227	11.8276
mscal(Dense)	double	9000	9000	0.110343	0.734072	11.7452
