func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	float	1000	1000	0.00184605	1.0834
matvec(Dense)	float	2000	2000	6.52834e-05	122.543
matvec(Dense)	float	3000	3000	0.000191592	93.9498
matvec(Dense)	float	4000	4000	0.00503746	6.35241
matvec(Dense)	float	5000	5000	0.0094273	5.30374
matvec(Dense)	float	6000	6000	0.0146069	4.92919
matvec(Dense)	float	7000	7000	0.0201629	4.8604
matvec(Dense)	float	8000	8000	0.0269375	4.75175
matvec(Dense)	float	9000	9000	0.0211633	7.65476
matvec(Dense)	float	10000	10000	0.0433911	4.60924
matvec(Dense)	double	1000	1000	0.000139224	14.3654
matvec(Dense)	double	2000	2000	0.000136209	58.7334
matvec(Dense)	double	3000	3000	0.0059311	3.03485
matvec(Dense)	double	4000	4000	0.0128466	2.49094
matvec(Dense)	double	5000	5000	0.0150337	3.32586
matvec(Dense)	double	6000	6000	0.030814	2.3366
matvec(Dense)	double	7000	7000	0.0399571	2.45263
matvec(Dense)	double	8000	8000	0.0485565	2.6361
matvec(Dense)	double	9000	9000	0.0704242	2.30035
matvec(Dense)	double	10000	10000	0.0806197	2.48078
