func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.018024	110.963
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0105621	1514.85
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.0278807	1936.82
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.0609987	2098.41
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.120994	2066.22
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.0276923	72.2222
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.208578	76.71
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.681823	79.1994
matmul(Dense,Dense,Dense)	double	4000	4000	4000	1.62311	78.8609
matmul(Dense,Dense,Dense)	double	5000	5000	5000	3.18626	78.4619
