func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(Dense)	float	1000	1000	0.0172065	0.116235
mv_mul(Dense)	float	2000	2000	0.00158425	5.04972
mv_mul(Dense)	float	3000	3000	0.00181176	9.9351
mv_mul(Dense)	float	4000	4000	0.0022838	14.0117
mv_mul(Dense)	float	5000	5000	0.00235532	21.2285
mv_mul(Dense)	float	6000	6000	0.00272694	26.4032
mv_mul(Dense)	float	7000	7000	0.00320342	30.5923
mv_mul(Dense)	float	8000	8000	0.00389542	32.8591
mv_mul(Dense)	float	9000	9000	0.00465928	34.7693
mv_mul(Dense)	float	10000	10000	0.00526044	38.0196
mv_mul(Dense)	double	1000	1000	0.00125954	1.58788
mv_mul(Dense)	double	2000	2000	0.00152093	5.25993
mv_mul(Dense)	double	3000	3000	0.00191035	9.42233
mv_mul(Dense)	double	4000	4000	0.00252243	12.6862
mv_mul(Dense)	double	5000	5000	0.003307	15.1194
mv_mul(Dense)	double	6000	6000	0.00418976	17.1848
mv_mul(Dense)	double	7000	7000	0.00515437	19.013
mv_mul(Dense)	double	8000	8000	0.00645411	19.8323
mv_mul(Dense)	double	9000	9000	0.00800279	20.2429
