func	prec	M	N	time[sec]
convert(COO,Dense)	float	1000	1000	0.00238763
convert(COO,Dense)	float	2000	2000	0.00585309
convert(COO,Dense)	float	3000	3000	0.0166999
convert(COO,Dense)	float	4000	4000	0.0287392
convert(COO,Dense)	float	5000	5000	0.0441549
convert(COO,Dense)	float	6000	6000	0.0620559
convert(COO,Dense)	float	7000	7000	0.0831095
convert(COO,Dense)	float	8000	8000	0.109223
convert(COO,Dense)	float	9000	9000	0.135587
convert(COO,Dense)	float	10000	10000	0.166861
convert(COO,Dense)	double	1000	1000	0.00293414
convert(COO,Dense)	double	2000	2000	0.00925712
convert(COO,Dense)	double	3000	3000	0.030657
convert(COO,Dense)	double	4000	4000	0.0536719
convert(COO,Dense)	double	5000	5000	0.0841836
convert(COO,Dense)	double	6000	6000	0.118696
convert(COO,Dense)	double	7000	7000	0.160517
convert(COO,Dense)	double	8000	8000	0.207587
convert(COO,Dense)	double	9000	9000	0.260963
convert(COO,Dense)	double	10000	10000	0.318758
