func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(Dense)	float	1000	1000	0.00193493	1.03363
mv_mul(Dense)	float	2000	2000	6.8053e-05	117.555
mv_mul(Dense)	float	3000	3000	0.000190754	94.3626
mv_mul(Dense)	float	4000	4000	0.00497972	6.42606
mv_mul(Dense)	float	5000	5000	0.00940859	5.31429
mv_mul(Dense)	float	6000	6000	0.0144384	4.9867
mv_mul(Dense)	float	7000	7000	0.0201846	4.85518
mv_mul(Dense)	float	8000	8000	0.0262709	4.87231
mv_mul(Dense)	float	9000	9000	0.0173224	9.35203
mv_mul(Dense)	float	10000	10000	0.0420464	4.75665
mv_mul(Dense)	double	1000	1000	5.28685e-05	37.8297
mv_mul(Dense)	double	2000	2000	0.000145189	55.1007
mv_mul(Dense)	double	3000	3000	0.00608328	2.95893
mv_mul(Dense)	double	4000	4000	0.0127536	2.5091
mv_mul(Dense)	double	5000	5000	0.0181323	2.75751
mv_mul(Dense)	double	6000	6000	0.0283534	2.53938
mv_mul(Dense)	double	7000	7000	0.0408995	2.39612
mv_mul(Dense)	double	8000	8000	0.0499015	2.56505
mv_mul(Dense)	double	9000	9000	0.0439267	3.68796
mv_mul(Dense)	double	10000	10000	0.0719568	2.77945
