func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.00653808	305.9
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0302543	528.85
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.100881	535.283
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.236599	541
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.450156	555.363
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.00907075	220.489
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.0628936	254.398
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.198028	272.689
matmul(Dense,Dense,Dense)	double	4000	4000	4000	0.453915	281.991
matmul(Dense,Dense,Dense)	double	5000	5000	5000	0.864786	289.089
