func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	float	1000	1000	0.00207179	0.482673
m_tanh(Dense)	float	2000	2000	0.00110097	3.63316
m_tanh(Dense)	float	3000	3000	0.00249371	3.60908
m_tanh(Dense)	float	4000	4000	0.00485837	3.29328
m_tanh(Dense)	float	5000	5000	0.00880026	2.84082
m_tanh(Dense)	float	6000	6000	0.0126328	2.84972
m_tanh(Dense)	float	7000	7000	0.0176854	2.77065
m_tanh(Dense)	float	8000	8000	0.0231017	2.77035
m_tanh(Dense)	float	9000	9000	0.0300758	2.6932
m_tanh(Dense)	float	10000	10000	0.0409066	2.4446
m_tanh(Dense)	double	1000	1000	0.000749482	1.33426
m_tanh(Dense)	double	2000	2000	0.00290965	1.37474
m_tanh(Dense)	double	3000	3000	0.0069705	1.29116
m_tanh(Dense)	double	4000	4000	0.0124226	1.28798
m_tanh(Dense)	double	5000	5000	0.0199551	1.25281
m_tanh(Dense)	double	6000	6000	0.0280165	1.28496
m_tanh(Dense)	double	7000	7000	0.0385392	1.27143
m_tanh(Dense)	double	8000	8000	0.0499001	1.28256
m_tanh(Dense)	double	9000	9000	0.0639512	1.26659
m_tanh(Dense)	double	10000	10000	0.0794708	1.25832
