func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(CRS)	float	1000	1000	0.000523657	0.154681
m_tanh(CRS)	float	2000	2000	0.000531722	0.304671
m_tanh(CRS)	float	4000	4000	0.000986843	0.32832
m_tanh(CRS)	float	8000	8000	0.00189434	0.342072
m_tanh(CRS)	float	16000	16000	0.00371158	0.349177
m_tanh(CRS)	float	32000	32000	0.00729259	0.35543
m_tanh(CRS)	float	64000	64000	0.0147167	0.352252
m_tanh(CRS)	double	1000	1000	0.000438882	0.18456
m_tanh(CRS)	double	2000	2000	0.000787845	0.205624
m_tanh(CRS)	double	4000	4000	0.00150652	0.215066
m_tanh(CRS)	double	8000	8000	0.00294432	0.220085
m_tanh(CRS)	double	16000	16000	0.00582727	0.222403
m_tanh(CRS)	double	32000	32000	0.0116281	0.222908
m_tanh(CRS)	double	64000	64000	0.0224856	0.230547
