func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(CRS,CRS,CRS)	float	1000	1000	0.00102604	0.157889	0.947334
matadd(CRS,CRS,CRS)	float	2000	2000	4.03486e-05	8.03002	48.1801
matadd(CRS,CRS,CRS)	float	4000	4000	7.57673e-05	8.5525	51.315
matadd(CRS,CRS,CRS)	float	8000	8000	0.000170887	7.58394	45.5036
matadd(CRS,CRS,CRS)	float	16000	16000	0.00032588	7.95386	47.7232
matadd(CRS,CRS,CRS)	float	32000	32000	0.00473012	1.09595	6.57573
matadd(CRS,CRS,CRS)	float	64000	64000	0.0128928	0.80417	4.82502
matadd(CRS,CRS,CRS)	double	1000	1000	3.99325e-05	4.05685	48.6822
matadd(CRS,CRS,CRS)	double	2000	2000	7.298e-05	4.43957	53.2749
matadd(CRS,CRS,CRS)	double	4000	4000	0.000156006	4.15368	49.8442
matadd(CRS,CRS,CRS)	double	8000	8000	0.000329358	3.93493	47.2192
matadd(CRS,CRS,CRS)	double	16000	16000	0.00340811	0.760538	9.12646
matadd(CRS,CRS,CRS)	double	32000	32000	0.0128264	0.404167	4.85
matadd(CRS,CRS,CRS)	double	64000	64000	0.0274471	0.377745	4.53294
