func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(CRS)	float	1000	1000	0.0251781	0.00643417
matvec(CRS)	float	2000	2000	4.28466e-05	7.56186
matvec(CRS)	float	4000	4000	7.46781e-05	8.67724
matvec(CRS)	float	8000	8000	0.000134408	9.64228
matvec(CRS)	float	16000	16000	0.000256544	10.1035
matvec(CRS)	float	32000	32000	0.000507634	10.2121
matvec(CRS)	float	64000	64000	0.00100867	10.2788
matvec(CRS)	double	1000	1000	3.78553e-05	4.27945
matvec(CRS)	double	2000	2000	5.86445e-05	5.52481
matvec(CRS)	double	4000	4000	0.0001036	6.25483
matvec(CRS)	double	8000	8000	0.00018563	6.98165
matvec(CRS)	double	16000	16000	0.000351496	7.3742
matvec(CRS)	double	32000	32000	0.000675571	7.67351
matvec(CRS)	double	64000	64000	0.00132469	7.82672
