func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.00593394	337.044
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.0133731	504.746
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0311827	513.106
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.0618679	505.109
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.10379	520.28
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.162374	528.102
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.237607	538.705
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.336039	542.348
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.448761	557.089
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.00905738	220.814
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.027817	242.658
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.0616591	259.491
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.114862	272.065
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.197135	273.924
matmul(Dense,Dense,Dense)	double	3500	3500	3500	0.30742	278.934
matmul(Dense,Dense,Dense)	double	4000	4000	4000	0.457585	279.729
matmul(Dense,Dense,Dense)	double	4500	4500	4500	0.663496	274.681
matmul(Dense,Dense,Dense)	double	5000	5000	5000	0.907989	275.334
