func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	float	1000	0.000933186	0.0010716	0.00428639
sum	float	2000	0.000941192	0.00212497	0.00849986
sum	float	4000	0.000939623	0.00425703	0.0170281
sum	float	8000	0.000942873	0.0084847	0.0339388
sum	float	16000	0.000950999	0.0168244	0.0672977
sum	float	32000	0.000969007	0.0330235	0.132094
sum	float	64000	0.00100338	0.0637847	0.255139
sum	float	128000	0.00106584	0.120093	0.480372
sum	float	256000	0.0012047	0.212501	0.850002
sum	float	512000	0.00146811	0.348748	1.39499
sum	float	1024000	0.0019844	0.516024	2.0641
sum	float	2048000	0.00282292	0.725491	2.90196
sum	float	4096000	0.00484814	0.84486	3.37944
sum	float	8192000	0.00797459	1.02726	4.10905
sum	float	16384000	0.0149169	1.09835	4.39341
sum	float	32768000	0.0274533	1.19359	4.77437
sum	float	65536000	0.0540827	1.21177	4.84709
sum	double	1000	0.000721576	0.00138585	0.0110868
sum	double	2000	0.000726722	0.00275208	0.0220167
sum	double	4000	0.000728256	0.00549257	0.0439406
sum	double	8000	0.000753935	0.010611	0.0848879
sum	double	16000	0.000745581	0.0214598	0.171678
sum	double	32000	0.000762135	0.0419873	0.335899
sum	double	64000	0.000812365	0.0787824	0.630259
sum	double	128000	0.000885928	0.144481	1.15585
sum	double	256000	0.0010537	0.242953	1.94363
sum	double	512000	0.00138031	0.370931	2.96745
sum	double	1024000	0.00202377	0.505987	4.04789
sum	double	2048000	0.0032752	0.625305	5.00244
sum	double	4096000	0.00582429	0.703262	5.6261
sum	double	8192000	0.0109789	0.746156	5.96925
sum	double	16384000	0.0211998	0.772836	6.18269
sum	double	32768000	0.0415416	0.7888	6.3104
sum	double	65536000	0.0826164	0.793257	6.34605
