func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.00229044	0.436597	3.49277
mscal(Dense)	float	2000	2000	0.00604593	0.661602	5.29281
mscal(Dense)	float	3000	3000	0.0120573	0.746437	5.9715
mscal(Dense)	float	4000	4000	0.0188096	0.85063	6.80504
mscal(Dense)	float	5000	5000	0.026807	0.932591	7.46072
mscal(Dense)	double	1000	1000	0.00213329	0.46876	7.50016
mscal(Dense)	double	2000	2000	0.00611731	0.653883	10.4621
mscal(Dense)	double	3000	3000	0.0128365	0.701123	11.218
mscal(Dense)	double	4000	4000	0.0221288	0.72304	11.5686
mscal(Dense)	double	5000	5000	0.0342545	0.729831	11.6773
