func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.00384768	0.259897	2.07918
mscal(Dense)	float	2000	2000	0.000502825	7.95505	63.6404
mscal(Dense)	float	3000	3000	0.000259898	34.6289	277.031
mscal(Dense)	float	4000	4000	0.00552658	2.8951	23.1608
mscal(Dense)	float	5000	5000	0.0106055	2.35727	18.8582
mscal(Dense)	double	1000	1000	4.94686e-05	20.2148	323.437
mscal(Dense)	double	2000	2000	0.000202904	19.7138	315.421
mscal(Dense)	double	3000	3000	0.00671458	1.34037	21.4459
mscal(Dense)	double	4000	4000	0.0138239	1.15741	18.5186
mscal(Dense)	double	5000	5000	0.0219971	1.13651	18.1842
