func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	float	1000	1000	0.00113556	0.0713303	0.570642
mscal(CRS)	float	2000	2000	0.00137061	0.118196	0.945565
mscal(CRS)	float	4000	4000	0.00180593	0.179409	1.43527
mscal(CRS)	float	8000	8000	0.00265523	0.244047	1.95237
mscal(CRS)	float	16000	16000	0.00428538	0.302423	2.41939
mscal(CRS)	float	32000	32000	0.00647345	0.400404	3.20324
mscal(CRS)	float	64000	64000	0.0118494	0.437492	3.49993
mscal(CRS)	double	1000	1000	0.000996251	0.0813048	1.30088
mscal(CRS)	double	2000	2000	0.0012291	0.131804	2.10887
mscal(CRS)	double	4000	4000	0.00168984	0.191735	3.06775
mscal(CRS)	double	8000	8000	0.0025573	0.253393	4.05428
mscal(CRS)	double	16000	16000	0.00428595	0.302383	4.83813
mscal(CRS)	double	32000	32000	0.00769047	0.337041	5.39265
mscal(CRS)	double	64000	64000	0.0146602	0.35361	5.65777
