func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	float	1000	1000	1000	0.736905	0.219838
matmul(Dense,CRS,Dense)	float	1500	1500	1500	1.74442	0.208952
matmul(Dense,CRS,Dense)	float	2000	2000	2000	3.57175	0.181424
matmul(Dense,CRS,Dense)	float	2500	2500	2500	5.75444	0.175951
matmul(Dense,CRS,Dense)	float	3000	3000	3000	8.24595	0.176814
matmul(Dense,CRS,Dense)	double	1000	1000	1000	0.840175	0.192817
matmul(Dense,CRS,Dense)	double	1500	1500	1500	2.15087	0.169466
matmul(Dense,CRS,Dense)	double	2000	2000	2000	4.01391	0.161439
matmul(Dense,CRS,Dense)	double	2500	2500	2500	6.4896	0.156019
matmul(Dense,CRS,Dense)	double	3000	3000	3000	9.20935	0.158317
