func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(CRS)	float	1000	1000	0.00180909	0.0447739
m_tanh(CRS)	float	2000	2000	0.00010215	1.58591
m_tanh(CRS)	float	4000	4000	0.000189346	1.71115
m_tanh(CRS)	float	8000	8000	0.000357224	1.81399
m_tanh(CRS)	float	16000	16000	0.000691785	1.87341
m_tanh(CRS)	float	32000	32000	0.00135321	1.91544
m_tanh(CRS)	float	64000	64000	0.00273189	1.89759
m_tanh(CRS)	double	1000	1000	9.10502e-05	0.889619
m_tanh(CRS)	double	2000	2000	0.000157049	1.03152
m_tanh(CRS)	double	4000	4000	0.000301219	1.07563
m_tanh(CRS)	double	8000	8000	0.000582952	1.11158
m_tanh(CRS)	double	16000	16000	0.00114421	1.13266
m_tanh(CRS)	double	32000	32000	0.00234782	1.104
m_tanh(CRS)	double	64000	64000	0.00746643	0.694308
