func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(CRS)	float	1000	1000	0.0306826	0.00527986
mv_mul(CRS)	float	2000	2000	0.000914611	0.354249
mv_mul(CRS)	float	4000	4000	0.000918444	0.705541
mv_mul(CRS)	float	8000	8000	0.000933851	1.3878
mv_mul(CRS)	float	16000	16000	0.000986814	2.62663
mv_mul(CRS)	float	32000	32000	0.00176577	2.93583
mv_mul(CRS)	float	64000	64000	0.00251206	4.12729
mv_mul(CRS)	double	1000	1000	0.000899464	0.180107
mv_mul(CRS)	double	2000	2000	0.000851771	0.380384
mv_mul(CRS)	double	4000	4000	0.000863748	0.750219
mv_mul(CRS)	double	8000	8000	0.000895172	1.44777
mv_mul(CRS)	double	16000	16000	0.00176637	1.46742
mv_mul(CRS)	double	32000	32000	0.00184974	2.80256
mv_mul(CRS)	double	64000	64000	0.00280964	3.69015
