func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0179095	111.672
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.00493133	1368.8
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.00998843	1601.85
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.0170152	1836.6
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.0260039	2076.61
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.041129	2084.91
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.0610191	2097.7
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.0883559	2062.68
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.121557	2056.65
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.0277795	71.9956
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.0878704	76.8176
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.208103	76.8851
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.405052	77.1506
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.680184	79.3902
matmul(Dense,Dense,Dense)	double	3500	3500	3500	1.08579	78.9748
matmul(Dense,Dense,Dense)	double	4000	4000	4000	1.61929	79.0468
matmul(Dense,Dense,Dense)	double	4500	4500	4500	2.31124	78.8537
matmul(Dense,Dense,Dense)	double	5000	5000	5000	3.17354	78.7764
