func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.00247626	0.807669	
mv_mul(Dense)	float	2000	2000	6.94026e-05	115.269	
mv_mul(Dense)	float	3000	3000	0.000238794	75.3788	
mv_mul(Dense)	float	4000	4000	0.00504187	6.34685	
mv_mul(Dense)	float	5000	5000	0.00961823	5.19846	
mv_mul(Dense)	float	6000	6000	0.0143175	5.02881	
mv_mul(Dense)	float	7000	7000	0.0203983	4.80432	
mv_mul(Dense)	float	8000	8000	0.0271369	4.71682	
mv_mul(Dense)	float	9000	9000	0.0245578	6.59668	
mv_mul(Dense)	float	10000	10000	0.0422317	4.73578	
mv_mul(Dense)	double	1000	1000	0.000156293	12.7965	
mv_mul(Dense)	double	2000	2000	0.000145544	54.9662	
mv_mul(Dense)	double	3000	3000	0.00594422	3.02815	
mv_mul(Dense)	double	4000	4000	0.0128563	2.48906	
mv_mul(Dense)	double	5000	5000	0.0211735	2.36145	
mv_mul(Dense)	double	6000	6000	0.0300624	2.39502	
mv_mul(Dense)	double	7000	7000	0.0399739	2.4516	
mv_mul(Dense)	double	8000	8000	0.0537773	2.38019	
mv_mul(Dense)	double	9000	9000	0.0601143	2.69487	
mv_mul(Dense)	double	10000	10000	0.0779963	2.56422	
