func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.00185847	1.07616	
matvec(Dense)	float	2000	2000	6.56259e-05	121.903	
matvec(Dense)	float	3000	3000	0.00018424	97.6989	
matvec(Dense)	float	4000	4000	0.00503823	6.35144	
matvec(Dense)	float	5000	5000	0.00932649	5.36107	
matvec(Dense)	float	6000	6000	0.0145829	4.93728	
matvec(Dense)	float	7000	7000	0.0206686	4.7415	
matvec(Dense)	float	8000	8000	0.0272934	4.68978	
matvec(Dense)	float	9000	9000	0.015563	10.4093	
matvec(Dense)	float	10000	10000	0.0420665	4.75438	
matvec(Dense)	double	1000	1000	0.000153824	13.0019	
matvec(Dense)	double	2000	2000	0.000149285	53.5886	
matvec(Dense)	double	3000	3000	0.00418205	4.30411	
matvec(Dense)	double	4000	4000	0.00928087	3.44795	
matvec(Dense)	double	5000	5000	0.0153063	3.26663	
matvec(Dense)	double	6000	6000	0.0296775	2.42608	
matvec(Dense)	double	7000	7000	0.0412923	2.37332	
matvec(Dense)	double	8000	8000	0.04488	2.85205	
matvec(Dense)	double	9000	9000	0.0377271	4.294	
matvec(Dense)	double	10000	10000	0.0648203	3.08545	
