func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
dot	float	1000	0.000504221	0.00396652	0.0158661	
dot	float	10000	0.000514926	0.0388406	0.155362	
dot	float	100000	0.000512818	0.390002	1.56001	
dot	float	1000000	0.000586747	3.40862	13.6345	
dot	float	10000000	0.00129021	15.5013	62.0052	
dot	float	100000000	0.00823599	24.2837	97.1346	
dot	double	1000	0.000471262	0.00424392	0.0339514	
dot	double	10000	0.000455003	0.0439558	0.351646	
dot	double	100000	0.000472595	0.423195	3.38556	
dot	double	1000000	0.000598372	3.3424	26.7392	
dot	double	10000000	0.00200809	9.95971	79.6777	
dot	double	100000000	0.0159655	12.527	100.216	
