func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	float	1000	1.10429e-05	0.0905559	0.362224	
sum	float	10000	1.01673e-05	0.983545	3.93418	
sum	float	100000	2.13797e-05	4.67733	18.7093	
sum	float	1000000	8.11521e-05	12.3225	49.2902	
sum	float	10000000	0.000764485	13.0807	52.3228	
sum	float	100000000	0.0126162	7.92631	31.7052	
sum	double	1000	9.1187e-06	0.109665	0.877318	
sum	double	10000	1.74809e-05	0.572053	4.57642	
sum	double	100000	1.67835e-05	5.95823	47.6659	
sum	double	1000000	8.08978e-05	12.3613	98.8902	
sum	double	10000000	0.00194753	5.13471	41.0777	
sum	double	100000000	0.0195092	5.12578	41.0062	
