func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00206924	0.483268	
m_tanh(Dense)	float	2000	2000	0.00110176	3.63054	
m_tanh(Dense)	float	3000	3000	0.00286171	3.14498	
m_tanh(Dense)	float	4000	4000	0.00494165	3.23779	
m_tanh(Dense)	float	5000	5000	0.008813	2.83672	
m_tanh(Dense)	float	6000	6000	0.0126962	2.83549	
m_tanh(Dense)	float	7000	7000	0.0178499	2.74511	
m_tanh(Dense)	float	8000	8000	0.0234561	2.7285	
m_tanh(Dense)	float	9000	9000	0.030691	2.63921	
m_tanh(Dense)	float	10000	10000	0.0381984	2.61791	
m_tanh(Dense)	double	1000	1000	0.00523942	0.190861	
m_tanh(Dense)	double	2000	2000	0.00727408	0.549898	
m_tanh(Dense)	double	3000	3000	0.00700864	1.28413	
m_tanh(Dense)	double	4000	4000	0.0124613	1.28397	
m_tanh(Dense)	double	5000	5000	0.0196778	1.27047	
m_tanh(Dense)	double	6000	6000	0.0281257	1.27997	
m_tanh(Dense)	double	7000	7000	0.039157	1.25137	
m_tanh(Dense)	double	8000	8000	0.0515248	1.24212	
m_tanh(Dense)	double	9000	9000	0.0641221	1.26322	
m_tanh(Dense)	double	10000	10000	0.0818629	1.22156	
