func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.0022845	0.437733	3.50187	
mscal(Dense)	float	2000	2000	0.00603624	0.662665	5.30132	
mscal(Dense)	float	3000	3000	0.0120492	0.746935	5.97548	
mscal(Dense)	float	4000	4000	0.0188054	0.850822	6.80657	
mscal(Dense)	float	5000	5000	0.0267806	0.933511	7.46809	
mscal(Dense)	float	6000	6000	0.038373	0.938159	7.50527	
mscal(Dense)	float	7000	7000	0.0514289	0.952772	7.62217	
mscal(Dense)	float	8000	8000	0.0670267	0.954843	7.63875	
mscal(Dense)	float	9000	9000	0.0857952	0.944109	7.55287	
mscal(Dense)	float	10000	10000	0.104765	0.954515	7.63612	
mscal(Dense)	double	1000	1000	0.00214894	0.465345	7.44552	
mscal(Dense)	double	2000	2000	0.00616771	0.648539	10.3766	
mscal(Dense)	double	3000	3000	0.01292	0.696594	11.1455	
mscal(Dense)	double	4000	4000	0.0222481	0.719163	11.5066	
mscal(Dense)	double	5000	5000	0.0344798	0.725063	11.601	
mscal(Dense)	double	6000	6000	0.0493212	0.729909	11.6785	
mscal(Dense)	double	7000	7000	0.0664329	0.737586	11.8014	
mscal(Dense)	double	8000	8000	0.0865817	0.739186	11.827	
mscal(Dense)	double	9000	9000	0.11031	0.734295	11.7487	
