func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	float	1000	1000	0.00113636	0.07128	0.57024	
mscal(CRS)	float	10000	10000	0.00302197	0.268037	2.1443	
mscal(CRS)	float	100000	100000	0.0209882	0.385932	3.08745	
mscal(CRS)	float	1000000	1000000	0.169664	0.477413	3.8193	
mscal(CRS)	double	1000	1000	0.000990691	0.0817611	1.30818	
mscal(CRS)	double	10000	10000	0.00297287	0.272464	4.35942	
mscal(CRS)	double	100000	100000	0.0225913	0.358545	5.73672	
mscal(CRS)	double	1000000	1000000	0.21956	0.368919	5.90271	
