func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	5.93606e-05	16.8462	134.77	
mscal(Dense)	float	2000	2000	9.84602e-05	40.6256	325.004	
mscal(Dense)	float	3000	3000	0.000255731	35.1933	281.546	
mscal(Dense)	float	4000	4000	0.00556528	2.87497	22.9998	
mscal(Dense)	float	5000	5000	0.0106286	2.35215	18.8172	
mscal(Dense)	float	6000	6000	0.0156613	2.29865	18.3892	
mscal(Dense)	float	7000	7000	0.0216523	2.26304	18.1043	
mscal(Dense)	float	8000	8000	0.0281715	2.2718	18.1744	
mscal(Dense)	float	9000	9000	0.018502	4.37792	35.0233	
mscal(Dense)	float	10000	10000	0.0479652	2.08484	16.6788	
mscal(Dense)	double	1000	1000	4.91064e-05	20.3639	325.823	
mscal(Dense)	double	2000	2000	0.000191822	20.8526	333.642	
mscal(Dense)	double	3000	3000	0.00678533	1.32639	21.2222	
mscal(Dense)	double	4000	4000	0.0135648	1.17952	18.8723	
mscal(Dense)	double	5000	5000	0.0213024	1.17358	18.7772	
mscal(Dense)	double	6000	6000	0.0321561	1.11954	17.9126	
mscal(Dense)	double	7000	7000	0.0438003	1.11871	17.8994	
mscal(Dense)	double	8000	8000	0.0408222	1.56777	25.0844	
mscal(Dense)	double	9000	9000	0.0498093	1.6262	26.0192	
mscal(Dense)	double	10000	10000	0.0874536	1.14346	18.2954	
