func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.0162498	0.123079	
matvec(Dense)	float	2000	2000	0.000684895	11.6806	
matvec(Dense)	float	3000	3000	0.000891283	20.1956	
matvec(Dense)	float	4000	4000	0.0012078	26.4945	
matvec(Dense)	float	5000	5000	0.00153042	32.6708	
matvec(Dense)	float	6000	6000	0.00196752	36.5944	
matvec(Dense)	float	7000	7000	0.00248442	39.4458	
matvec(Dense)	float	8000	8000	0.00316829	40.4004	
matvec(Dense)	float	9000	9000	0.00378325	42.8203	
matvec(Dense)	float	10000	10000	0.00454159	44.0374	
matvec(Dense)	double	1000	1000	0.000541478	3.6936	
matvec(Dense)	double	2000	2000	0.000822946	9.72118	
matvec(Dense)	double	3000	3000	0.00120622	14.9227	
matvec(Dense)	double	4000	4000	0.00182038	17.5788	
matvec(Dense)	double	5000	5000	0.00248571	20.1149	
matvec(Dense)	double	6000	6000	0.00343953	20.9331	
matvec(Dense)	double	7000	7000	0.00444013	22.0714	
matvec(Dense)	double	8000	8000	0.00567652	22.549	
matvec(Dense)	double	9000	9000	0.0070723	22.9063	
