func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	5.74711e-05	17.4	208.801	
matadd(Dense,Dense,Dense)	float	2000	2000	0.00205134	1.94994	23.3993	
matadd(Dense,Dense,Dense)	float	3000	3000	0.0105391	0.853962	10.2475	
matadd(Dense,Dense,Dense)	float	4000	4000	0.0203967	0.78444	9.41328	
matadd(Dense,Dense,Dense)	float	5000	5000	0.0322511	0.775167	9.302	
matadd(Dense,Dense,Dense)	float	6000	6000	0.0475123	0.757698	9.09238	
matadd(Dense,Dense,Dense)	float	7000	7000	0.0636162	0.770244	9.24292	
matadd(Dense,Dense,Dense)	float	8000	8000	0.0650228	0.98427	11.8112	
matadd(Dense,Dense,Dense)	float	9000	9000	0.0720359	1.12444	13.4933	
matadd(Dense,Dense,Dense)	float	10000	10000	0.0746347	1.33986	16.0783	
matadd(Dense,Dense,Dense)	double	1000	1000	0.000103227	9.68743	232.498	
matadd(Dense,Dense,Dense)	double	2000	2000	0.00941139	0.425017	10.2004	
matadd(Dense,Dense,Dense)	double	3000	3000	0.0230421	0.390589	9.37413	
matadd(Dense,Dense,Dense)	double	4000	4000	0.0204526	0.782296	18.7751	
matadd(Dense,Dense,Dense)	double	5000	5000	0.0474099	0.527317	12.6556	
matadd(Dense,Dense,Dense)	double	6000	6000	0.0889901	0.404539	9.70894	
matadd(Dense,Dense,Dense)	double	7000	7000	0.100456	0.487774	11.7066	
matadd(Dense,Dense,Dense)	double	8000	8000	0.118081	0.541999	13.008	
matadd(Dense,Dense,Dense)	double	9000	9000	0.151185	0.535768	12.8584	
matadd(Dense,Dense,Dense)	double	10000	10000	0.159318	0.627675	15.0642	
