func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.0171818	0.116402	
mv_mul(Dense)	float	2000	2000	0.00160374	4.98835	
mv_mul(Dense)	float	3000	3000	0.00182031	9.88841	
mv_mul(Dense)	float	4000	4000	0.00232756	13.7483	
mv_mul(Dense)	float	5000	5000	0.00235469	21.2342	
mv_mul(Dense)	float	6000	6000	0.00272631	26.4093	
mv_mul(Dense)	float	7000	7000	0.00322385	30.3984	
mv_mul(Dense)	float	8000	8000	0.00391752	32.6737	
mv_mul(Dense)	float	9000	9000	0.00462829	35.0021	
mv_mul(Dense)	float	10000	10000	0.0052615	38.012	
mv_mul(Dense)	double	1000	1000	0.0012665	1.57916	
mv_mul(Dense)	double	2000	2000	0.00152542	5.24446	
mv_mul(Dense)	double	3000	3000	0.00193905	9.28291	
mv_mul(Dense)	double	4000	4000	0.00253327	12.6319	
mv_mul(Dense)	double	5000	5000	0.00330521	15.1276	
mv_mul(Dense)	double	6000	6000	0.00419578	17.1601	
mv_mul(Dense)	double	7000	7000	0.00516601	18.9701	
mv_mul(Dense)	double	8000	8000	0.00646558	19.7971	
mv_mul(Dense)	double	9000	9000	0.00800135	20.2466	
