func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_sub	float	1000	1.64426e-05	0.121635	0.729812	
vv_sub	float	10000	2.39921e-05	0.833608	5.00165	
vv_sub	float	100000	0.000111305	1.79687	10.7812	
vv_sub	float	1000000	0.000904376	2.21147	13.2688	
vv_sub	float	10000000	0.0230418	0.867987	5.20792	
vv_sub	float	100000000	0.207597	0.963407	5.78044	
vv_sub	double	1000	1.77783e-05	0.112497	1.34996	
vv_sub	double	10000	3.39129e-05	0.589746	7.07695	
vv_sub	double	100000	0.000159488	1.25402	15.0482	
vv_sub	double	1000000	0.0015886	1.25897	15.1076	
vv_sub	double	10000000	0.0469449	0.426032	5.11238	
vv_sub	double	100000000	0.397793	0.502774	6.03328	
