func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00138058	0.724331	
m_tanh(Dense)	float	2000	2000	0.00429555	0.931195	
m_tanh(Dense)	float	3000	3000	0.00949851	0.947517	
m_tanh(Dense)	float	4000	4000	0.0170707	0.93728	
m_tanh(Dense)	float	5000	5000	0.0264426	0.945444	
m_tanh(Dense)	float	6000	6000	0.0375451	0.958846	
m_tanh(Dense)	float	7000	7000	0.0511589	0.957799	
m_tanh(Dense)	float	8000	8000	0.0667091	0.959389	
m_tanh(Dense)	float	9000	9000	0.0843494	0.960292	
m_tanh(Dense)	float	10000	10000	0.104169	0.959975	
m_tanh(Dense)	double	1000	1000	0.00313764	0.318711	
m_tanh(Dense)	double	2000	2000	0.0126356	0.316566	
m_tanh(Dense)	double	3000	3000	0.0285152	0.315621	
m_tanh(Dense)	double	4000	4000	0.0507082	0.315531	
m_tanh(Dense)	double	5000	5000	0.0793201	0.315179	
m_tanh(Dense)	double	6000	6000	0.114418	0.314635	
m_tanh(Dense)	double	7000	7000	0.155871	0.314363	
m_tanh(Dense)	double	8000	8000	0.20381	0.314017	
m_tanh(Dense)	double	9000	9000	0.258202	0.313708	
