func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	float	1000	7.3777e-06	0.271087	1.62652	
axpyz	float	10000	7.9785e-06	2.50674	15.0404	
axpyz	float	100000	9.7762e-06	20.4578	122.747	
axpyz	float	1000000	4.07297e-05	49.1042	294.625	
axpyz	float	10000000	0.00308957	6.47338	38.8403	
axpyz	float	100000000	0.0486662	4.10963	24.6578	
axpyz	double	1000	7.2879e-06	0.274427	3.29313	
axpyz	double	10000	7.7025e-06	2.59656	31.1587	
axpyz	double	100000	1.17304e-05	17.0497	204.597	
axpyz	double	1000000	7.44833e-05	26.8517	322.22	
axpyz	double	10000000	0.0205872	0.971475	11.6577	
axpyz	double	100000000	0.0806461	2.47997	29.7597	
