func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_mul	float	1000	1.69218e-05	0.118191	0.472763	
sv_mul	float	10000	2.42119e-05	0.82604	3.30416	
sv_mul	float	100000	0.000142635	1.40218	5.60874	
sv_mul	float	1000000	0.000830672	2.40769	9.63076	
sv_mul	float	10000000	0.022526	0.887862	3.55145	
sv_mul	float	100000000	0.229629	0.870971	3.48388	
sv_mul	double	1000	1.82239e-05	0.109746	0.877968	
sv_mul	double	10000	5.174e-05	0.386548	3.09239	
sv_mul	double	100000	0.000204105	0.979888	7.83911	
sv_mul	double	1000000	0.00163214	1.22538	9.80308	
sv_mul	double	10000000	0.0428184	0.467088	3.73671	
sv_mul	double	100000000	0.414212	0.482845	3.86276	
