func	kind	prec	M	N	time[sec]
convert(COO,CRS)	CRS	float	10000	10000	0.00501116
convert(COO,CRS)	CRS	float	20000	20000	0.00967319
convert(COO,CRS)	CRS	float	30000	30000	0.0141048
convert(COO,CRS)	CRS	float	40000	40000	0.0179686
convert(COO,CRS)	CRS	float	50000	50000	0.022128
convert(COO,CRS)	CRS	float	60000	60000	0.0260438
convert(COO,CRS)	CRS	float	70000	70000	0.0298444
convert(COO,CRS)	CRS	float	80000	80000	0.0343148
convert(COO,CRS)	CRS	float	90000	90000	0.0388355
convert(COO,CRS)	CRS	float	100000	100000	0.0430044
convert(COO,CRS)	CRS	double	10000	10000	0.00344855
convert(COO,CRS)	CRS	double	20000	20000	0.00713972
convert(COO,CRS)	CRS	double	30000	30000	0.0159656
convert(COO,CRS)	CRS	double	40000	40000	0.0207627
convert(COO,CRS)	CRS	double	50000	50000	0.0262731
convert(COO,CRS)	CRS	double	60000	60000	0.0351951
convert(COO,CRS)	CRS	double	70000	70000	0.0405647
convert(COO,CRS)	CRS	double	80000	80000	0.0457358
convert(COO,CRS)	CRS	double	90000	90000	0.051738
convert(COO,CRS)	CRS	double	100000	100000	0.0572793
