func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00176531
transpose(Dense)	Dense	float	2000	2000	0.00770013
transpose(Dense)	Dense	float	3000	3000	0.02057
transpose(Dense)	Dense	float	4000	4000	0.0706328
transpose(Dense)	Dense	float	5000	5000	0.118781
transpose(Dense)	Dense	float	6000	6000	0.190712
transpose(Dense)	Dense	float	7000	7000	0.270659
transpose(Dense)	Dense	float	8000	8000	0.353204
transpose(Dense)	Dense	float	9000	9000	0.461461
transpose(Dense)	Dense	float	10000	10000	0.578289
transpose(Dense)	Dense	double	1000	1000	0.00312369
transpose(Dense)	Dense	double	2000	2000	0.0130382
transpose(Dense)	Dense	double	3000	3000	0.0517306
transpose(Dense)	Dense	double	4000	4000	0.102788
transpose(Dense)	Dense	double	5000	5000	0.177213
transpose(Dense)	Dense	double	6000	6000	0.271351
transpose(Dense)	Dense	double	7000	7000	0.399162
transpose(Dense)	Dense	double	8000	8000	0.802481
transpose(Dense)	Dense	double	9000	9000	0.732439
transpose(Dense)	Dense	double	10000	10000	0.908991
