func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_add	float	1000	2.06965e-05	0.0966347	0.386539
sv_add	float	10000	2.46561e-05	0.811158	3.24463
sv_add	float	100000	0.000114606	1.74511	6.98044
sv_add	float	1000000	0.000835913	2.39259	9.57037
sv_add	float	10000000	0.0262626	0.761539	3.04616
sv_add	float	100000000	0.21568	0.927298	3.70919
sv_add	double	1000	1.66564e-05	0.120074	0.960592
sv_add	double	10000	3.32135e-05	0.602165	4.81732
sv_add	double	100000	0.000143584	1.39291	11.1433
sv_add	double	1000000	0.00164577	1.21524	9.72191
sv_add	double	10000000	0.0402628	0.496737	3.97389
sv_add	double	100000000	0.454175	0.440359	3.52287
