func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
v_minus	float	1000	1.45881e-05	0.068549	0.548392
v_minus	float	10000	1.90949e-05	0.5237	4.1896
v_minus	float	100000	0.000141224	0.708093	5.66474
v_minus	float	1000000	0.00113795	0.878772	7.03018
v_minus	float	10000000	0.0297427	0.336217	2.68974
v_minus	float	100000000	0.27093	0.369099	2.95279
v_minus	double	1000	9.5434e-06	0.104784	1.67655
v_minus	double	10000	2.96104e-05	0.337719	5.40351
v_minus	double	100000	0.000199401	0.501501	8.02401
v_minus	double	1000000	0.00229577	0.435584	6.96935
v_minus	double	10000000	0.0529614	0.188817	3.02107
v_minus	double	100000000	0.604152	0.165521	2.64834
