func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(Dense)	float	1000	1000	0.0173905	0.115006
mv_mul(Dense)	float	2000	2000	0.00158172	5.05777
mv_mul(Dense)	float	3000	3000	0.00181206	9.93347
mv_mul(Dense)	float	4000	4000	0.00233932	13.6792
mv_mul(Dense)	float	5000	5000	0.00236148	21.1732
mv_mul(Dense)	float	6000	6000	0.00272427	26.4291
mv_mul(Dense)	float	7000	7000	0.00321325	30.4987
mv_mul(Dense)	float	8000	8000	0.00390326	32.7931
mv_mul(Dense)	float	9000	9000	0.00464279	34.8928
mv_mul(Dense)	float	10000	10000	0.00526134	38.0131
mv_mul(Dense)	double	1000	1000	0.0012642	1.58203
mv_mul(Dense)	double	2000	2000	0.00153409	5.21481
mv_mul(Dense)	double	3000	3000	0.00192672	9.34229
mv_mul(Dense)	double	4000	4000	0.00252643	12.6661
mv_mul(Dense)	double	5000	5000	0.00334089	14.9661
mv_mul(Dense)	double	6000	6000	0.00418361	17.21
mv_mul(Dense)	double	7000	7000	0.00516563	18.9715
mv_mul(Dense)	double	8000	8000	0.00645762	19.8215
mv_mul(Dense)	double	9000	9000	0.00800305	20.2423
