func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(CRS)	float	1000	1000	6.71839e-05	2.41129
mv_mul(CRS)	float	10000	10000	0.000198092	8.17801
mv_mul(CRS)	float	100000	100000	0.00964426	1.67976
mv_mul(CRS)	float	1000000	1000000	0.10357	1.56416
mv_mul(CRS)	double	1000	1000	2.89999e-05	5.58623
mv_mul(CRS)	double	10000	10000	0.000234712	6.90208
mv_mul(CRS)	double	100000	100000	0.015327	1.05696
mv_mul(CRS)	double	1000000	1000000	0.152754	1.06053
