func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	5.82233e-05	17.1753	206.103
matadd(Dense,Dense,Dense)	float	2000	2000	0.00214564	1.86425	22.371
matadd(Dense,Dense,Dense)	float	3000	3000	0.0106035	0.848774	10.1853
matadd(Dense,Dense,Dense)	float	4000	4000	0.0202252	0.791091	9.49309
matadd(Dense,Dense,Dense)	float	5000	5000	0.0324651	0.770058	9.24069
matadd(Dense,Dense,Dense)	float	6000	6000	0.0319591	1.12644	13.5173
matadd(Dense,Dense,Dense)	float	7000	7000	0.0631892	0.775449	9.30539
matadd(Dense,Dense,Dense)	float	8000	8000	0.0573769	1.11543	13.3852
matadd(Dense,Dense,Dense)	float	9000	9000	0.0829006	0.977073	11.7249
matadd(Dense,Dense,Dense)	float	10000	10000	0.115904	0.862786	10.3534
matadd(Dense,Dense,Dense)	double	1000	1000	0.00010623	9.41351	225.924
matadd(Dense,Dense,Dense)	double	2000	2000	0.00940605	0.425258	10.2062
matadd(Dense,Dense,Dense)	double	3000	3000	0.0231175	0.389315	9.34357
matadd(Dense,Dense,Dense)	double	4000	4000	0.0274393	0.583105	13.9945
matadd(Dense,Dense,Dense)	double	5000	5000	0.0614039	0.407141	9.77137
matadd(Dense,Dense,Dense)	double	6000	6000	0.0734262	0.490288	11.7669
matadd(Dense,Dense,Dense)	double	7000	7000	0.103624	0.472863	11.3487
matadd(Dense,Dense,Dense)	double	8000	8000	0.0897142	0.713376	17.121
matadd(Dense,Dense,Dense)	double	9000	9000	0.179776	0.45056	10.8134
matadd(Dense,Dense,Dense)	double	10000	10000	0.165412	0.604551	14.5092
