func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	float	1000	1000	0.00185123	1.08036
matvec(Dense)	float	2000	2000	6.47516e-05	123.549
matvec(Dense)	float	3000	3000	0.00018147	99.1899
matvec(Dense)	float	4000	4000	0.00504245	6.34613
matvec(Dense)	float	5000	5000	0.00937272	5.33463
matvec(Dense)	float	6000	6000	0.0145855	4.93642
matvec(Dense)	float	7000	7000	0.019965	4.9086
matvec(Dense)	float	8000	8000	0.0263246	4.86237
matvec(Dense)	float	9000	9000	0.0161509	10.0304
matvec(Dense)	float	10000	10000	0.0424327	4.71335
matvec(Dense)	double	1000	1000	0.000145616	13.7347
matvec(Dense)	double	2000	2000	0.000133692	59.8389
matvec(Dense)	double	3000	3000	0.00588279	3.05977
matvec(Dense)	double	4000	4000	0.0127083	2.51804
matvec(Dense)	double	5000	5000	0.0200848	2.48945
matvec(Dense)	double	6000	6000	0.0270255	2.66415
matvec(Dense)	double	7000	7000	0.0414214	2.36592
matvec(Dense)	double	8000	8000	0.0528636	2.42133
matvec(Dense)	double	9000	9000	0.0362562	4.4682
matvec(Dense)	double	10000	10000	0.0772258	2.58981
