func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.00584129	342.39
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0307725	519.945
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.102596	526.336
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.238383	536.951
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.451463	553.755
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.00898352	222.63
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.0628962	254.387
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.19675	274.459
matmul(Dense,Dense,Dense)	double	4000	4000	4000	0.45401	281.932
matmul(Dense,Dense,Dense)	double	5000	5000	5000	0.882201	283.382
