func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.0022843	0.437772	3.50217
mscal(Dense)	float	2000	2000	0.00603343	0.662973	5.30379
mscal(Dense)	float	3000	3000	0.0120865	0.744631	5.95705
mscal(Dense)	float	4000	4000	0.0191067	0.837404	6.69923
mscal(Dense)	float	5000	5000	0.0268392	0.931473	7.45178
mscal(Dense)	float	6000	6000	0.0383668	0.938311	7.50649
mscal(Dense)	float	7000	7000	0.0513853	0.95358	7.62864
mscal(Dense)	float	8000	8000	0.0673715	0.949956	7.59965
mscal(Dense)	float	9000	9000	0.085933	0.942594	7.54075
mscal(Dense)	float	10000	10000	0.104943	0.952895	7.62316
mscal(Dense)	double	1000	1000	0.00214725	0.465712	7.45139
mscal(Dense)	double	2000	2000	0.00616763	0.648547	10.3767
mscal(Dense)	double	3000	3000	0.0129078	0.697254	11.1561
mscal(Dense)	double	4000	4000	0.0222319	0.719687	11.515
mscal(Dense)	double	5000	5000	0.034492	0.724807	11.5969
mscal(Dense)	double	6000	6000	0.0493421	0.7296	11.6736
mscal(Dense)	double	7000	7000	0.0664908	0.736944	11.7911
mscal(Dense)	double	8000	8000	0.0866725	0.738412	11.8146
mscal(Dense)	double	9000	9000	0.110458	0.733313	11.733
