func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	float	1000	1000	0.0034482	0.290007
m_tanh(Dense)	float	2000	2000	0.00109829	3.64201
m_tanh(Dense)	float	3000	3000	0.00249948	3.60075
m_tanh(Dense)	float	4000	4000	0.00490091	3.2647
m_tanh(Dense)	float	5000	5000	0.00883986	2.8281
m_tanh(Dense)	float	6000	6000	0.0126619	2.84318
m_tanh(Dense)	float	7000	7000	0.0177484	2.76081
m_tanh(Dense)	float	8000	8000	0.0226708	2.82301
m_tanh(Dense)	float	9000	9000	0.0309565	2.61657
m_tanh(Dense)	float	10000	10000	0.0390582	2.56028
m_tanh(Dense)	double	1000	1000	0.000741226	1.34912
m_tanh(Dense)	double	2000	2000	0.00290709	1.37594
m_tanh(Dense)	double	3000	3000	0.00696261	1.29262
m_tanh(Dense)	double	4000	4000	0.0124362	1.28657
m_tanh(Dense)	double	5000	5000	0.0196085	1.27496
m_tanh(Dense)	double	6000	6000	0.0280269	1.28448
m_tanh(Dense)	double	7000	7000	0.03907	1.25416
m_tanh(Dense)	double	8000	8000	0.0498854	1.28294
m_tanh(Dense)	double	9000	9000	0.0649312	1.24747
m_tanh(Dense)	double	10000	10000	0.0794378	1.25885
