func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.00105057	0.951861	7.61489
mscal(Dense)	float	2000	2000	9.9799e-05	40.0806	320.644
mscal(Dense)	float	3000	3000	0.000233854	38.4855	307.884
mscal(Dense)	float	4000	4000	0.00594068	2.69329	21.5464
mscal(Dense)	float	5000	5000	0.0118675	2.10659	16.8528
mscal(Dense)	float	6000	6000	0.0175269	2.05399	16.4319
mscal(Dense)	float	7000	7000	0.0243324	2.01378	16.1102
mscal(Dense)	float	8000	8000	0.0319243	2.00474	16.0379
mscal(Dense)	float	9000	9000	0.0411942	1.9663	15.7304
mscal(Dense)	float	10000	10000	0.0494066	2.02402	16.1922
mscal(Dense)	double	1000	1000	4.96645e-05	20.1351	322.162
mscal(Dense)	double	2000	2000	0.000197566	20.2464	323.942
mscal(Dense)	double	3000	3000	0.00743638	1.21027	19.3643
mscal(Dense)	double	4000	4000	0.0147522	1.08458	17.3533
mscal(Dense)	double	5000	5000	0.0244834	1.0211	16.3376
mscal(Dense)	double	6000	6000	0.0356455	1.00995	16.1591
mscal(Dense)	double	7000	7000	0.050388	0.972453	15.5593
mscal(Dense)	double	8000	8000	0.0632214	1.01232	16.1971
mscal(Dense)	double	9000	9000	0.0718987	1.12659	18.0254
mscal(Dense)	double	10000	10000	0.0970413	1.03049	16.4878
