func	prec	M	N	time[sec]
transpose(Dense)	float	1000	1000	0.00306327
transpose(Dense)	float	2000	2000	0.0156965
transpose(Dense)	float	3000	3000	0.0493297
transpose(Dense)	float	4000	4000	0.0977433
transpose(Dense)	float	5000	5000	0.154084
transpose(Dense)	float	6000	6000	0.21216
transpose(Dense)	float	7000	7000	0.31783
transpose(Dense)	float	8000	8000	0.39495
transpose(Dense)	float	9000	9000	0.526025
transpose(Dense)	float	10000	10000	0.611907
transpose(Dense)	double	1000	1000	0.00369264
transpose(Dense)	double	2000	2000	0.0280282
transpose(Dense)	double	3000	3000	0.0740208
transpose(Dense)	double	4000	4000	0.149513
transpose(Dense)	double	5000	5000	0.228298
transpose(Dense)	double	6000	6000	0.343802
transpose(Dense)	double	7000	7000	0.451858
transpose(Dense)	double	8000	8000	0.614636
transpose(Dense)	double	9000	9000	0.749616
transpose(Dense)	double	10000	10000	0.926431
