func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(Dense)	float	1000	1000	0.0026836	0.745268
mv_mul(Dense)	float	2000	2000	6.80078e-05	117.634
mv_mul(Dense)	float	3000	3000	0.00017625	102.128
mv_mul(Dense)	float	4000	4000	0.00349522	9.15536
mv_mul(Dense)	float	5000	5000	0.00691494	7.23072
mv_mul(Dense)	float	6000	6000	0.0105961	6.79497
mv_mul(Dense)	float	7000	7000	0.0147881	6.62696
mv_mul(Dense)	float	8000	8000	0.0200562	6.38206
mv_mul(Dense)	float	9000	9000	0.02579	6.28151
mv_mul(Dense)	float	10000	10000	0.031465	6.35626
mv_mul(Dense)	double	1000	1000	0.000234634	8.52392
mv_mul(Dense)	double	2000	2000	0.000147506	54.235
mv_mul(Dense)	double	3000	3000	0.00419025	4.29568
mv_mul(Dense)	double	4000	4000	0.0092566	3.45699
mv_mul(Dense)	double	5000	5000	0.014966	3.3409
mv_mul(Dense)	double	6000	6000	0.0225961	3.1864
mv_mul(Dense)	double	7000	7000	0.0307309	3.18897
mv_mul(Dense)	double	8000	8000	0.040857	3.13287
mv_mul(Dense)	double	9000	9000	0.0522797	3.09871
mv_mul(Dense)	double	10000	10000	0.0431963	4.63003
