func	prec	M	N	time[sec]
convert(COO,Dense)	float	1000	1000	0.00283138
convert(COO,Dense)	float	2000	2000	0.00576785
convert(COO,Dense)	float	3000	3000	0.0167416
convert(COO,Dense)	float	4000	4000	0.0286738
convert(COO,Dense)	float	5000	5000	0.0443255
convert(COO,Dense)	float	6000	6000	0.062629
convert(COO,Dense)	float	7000	7000	0.084016
convert(COO,Dense)	float	8000	8000	0.108073
convert(COO,Dense)	float	9000	9000	0.13543
convert(COO,Dense)	float	10000	10000	0.16628
convert(COO,Dense)	double	1000	1000	0.00289903
convert(COO,Dense)	double	2000	2000	0.00931196
convert(COO,Dense)	double	3000	3000	0.0308566
convert(COO,Dense)	double	4000	4000	0.0536816
convert(COO,Dense)	double	5000	5000	0.0830272
convert(COO,Dense)	double	6000	6000	0.11848
convert(COO,Dense)	double	7000	7000	0.158189
convert(COO,Dense)	double	8000	8000	0.206151
convert(COO,Dense)	double	9000	9000	0.257938
convert(COO,Dense)	double	10000	10000	0.318524
