func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.00244779	66.1821
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.00550168	66.2524
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.0101664	63.7391
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.020193	50.1412
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.0429944	33.9114
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0152085	10.6519
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0328102	11.1094
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0684606	9.4653
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.0901972	11.2254
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.126593	11.5172
