func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.00114175
convert(COO,Dense)	Dense	float	2000	2000	0.00409804
convert(COO,Dense)	Dense	float	3000	3000	0.0151116
convert(COO,Dense)	Dense	float	4000	4000	0.0251275
convert(COO,Dense)	Dense	float	5000	5000	0.0370589
convert(COO,Dense)	Dense	float	6000	6000	0.0520718
convert(COO,Dense)	Dense	float	7000	7000	0.0697259
convert(COO,Dense)	Dense	float	8000	8000	0.0898683
convert(COO,Dense)	Dense	float	9000	9000	0.112552
convert(COO,Dense)	Dense	float	10000	10000	0.137261
convert(COO,Dense)	Dense	double	1000	1000	0.00165968
convert(COO,Dense)	Dense	double	2000	2000	0.00762902
convert(COO,Dense)	Dense	double	3000	3000	0.0263219
convert(COO,Dense)	Dense	double	4000	4000	0.0451085
convert(COO,Dense)	Dense	double	5000	5000	0.0690444
convert(COO,Dense)	Dense	double	6000	6000	0.0980988
convert(COO,Dense)	Dense	double	7000	7000	0.131538
convert(COO,Dense)	Dense	double	8000	8000	0.169554
convert(COO,Dense)	Dense	double	9000	9000	0.212339
convert(COO,Dense)	Dense	double	10000	10000	0.259585
