func	kind	prec	M	N	time[sec]
convert(COO,CRS)	CRS	float	10000	10000	0.0146155
convert(COO,CRS)	CRS	float	20000	20000	0.0257885
convert(COO,CRS)	CRS	float	30000	30000	0.0502689
convert(COO,CRS)	CRS	float	40000	40000	0.0658225
convert(COO,CRS)	CRS	float	50000	50000	0.0815447
convert(COO,CRS)	CRS	float	60000	60000	0.0993298
convert(COO,CRS)	CRS	float	70000	70000	0.109312
convert(COO,CRS)	CRS	float	80000	80000	0.124712
convert(COO,CRS)	CRS	float	90000	90000	0.122426
convert(COO,CRS)	CRS	float	100000	100000	0.125847
convert(COO,CRS)	CRS	double	10000	10000	0.00673721
convert(COO,CRS)	CRS	double	20000	20000	0.0179017
convert(COO,CRS)	CRS	double	30000	30000	0.0568104
convert(COO,CRS)	CRS	double	40000	40000	0.0755102
convert(COO,CRS)	CRS	double	50000	50000	0.0951655
convert(COO,CRS)	CRS	double	60000	60000	0.107917
convert(COO,CRS)	CRS	double	70000	70000	0.125206
convert(COO,CRS)	CRS	double	80000	80000	0.142922
convert(COO,CRS)	CRS	double	90000	90000	0.160646
convert(COO,CRS)	CRS	double	100000	100000	0.178401
