func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.00254212
convert(COO,Dense)	Dense	float	2000	2000	0.0060006
convert(COO,Dense)	Dense	float	3000	3000	0.0330199
convert(COO,Dense)	Dense	float	4000	4000	0.063075
convert(COO,Dense)	Dense	float	5000	5000	0.097384
convert(COO,Dense)	Dense	float	6000	6000	0.13787
convert(COO,Dense)	Dense	float	7000	7000	0.185241
convert(COO,Dense)	Dense	float	8000	8000	0.240709
convert(COO,Dense)	Dense	float	9000	9000	0.300304
convert(COO,Dense)	Dense	float	10000	10000	0.364779
convert(COO,Dense)	Dense	double	1000	1000	0.00340932
convert(COO,Dense)	Dense	double	2000	2000	0.0115039
convert(COO,Dense)	Dense	double	3000	3000	0.0676555
convert(COO,Dense)	Dense	double	4000	4000	0.119099
convert(COO,Dense)	Dense	double	5000	5000	0.184188
convert(COO,Dense)	Dense	double	6000	6000	0.263503
convert(COO,Dense)	Dense	double	7000	7000	0.35311
convert(COO,Dense)	Dense	double	8000	8000	0.460465
convert(COO,Dense)	Dense	double	9000	9000	0.575091
convert(COO,Dense)	Dense	double	10000	10000	0.663617
