func	kind	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	Dense	float	1000	1000	0.00218695	0.914518
matvec(Dense)	Dense	float	2000	2000	7.66444e-05	104.378
matvec(Dense)	Dense	float	3000	3000	0.000526309	34.2004
matvec(Dense)	Dense	float	4000	4000	0.00327486	9.77141
matvec(Dense)	Dense	float	5000	5000	0.00665239	7.51609
matvec(Dense)	Dense	float	6000	6000	0.0183532	3.92303
matvec(Dense)	Dense	float	7000	7000	0.00930773	10.5289
matvec(Dense)	Dense	float	8000	8000	0.0348315	3.67484
matvec(Dense)	Dense	float	9000	9000	0.0443363	3.65389
matvec(Dense)	Dense	float	10000	10000	0.0549304	3.64097
matvec(Dense)	Dense	double	1000	1000	5.60062e-05	35.7104
matvec(Dense)	Dense	double	2000	2000	0.000387897	20.624
matvec(Dense)	Dense	double	3000	3000	0.00683976	2.63167
matvec(Dense)	Dense	double	4000	4000	0.0148881	2.14937
matvec(Dense)	Dense	double	5000	5000	0.00653997	7.6453
matvec(Dense)	Dense	double	6000	6000	0.0368561	1.95354
matvec(Dense)	Dense	double	7000	7000	0.0505701	1.93791
matvec(Dense)	Dense	double	8000	8000	0.0652394	1.96201
matvec(Dense)	Dense	double	9000	9000	0.0576451	2.8103
matvec(Dense)	Dense	double	10000	10000	0.0542158	3.68896
