func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00186144
transpose(Dense)	Dense	float	2000	2000	0.00822647
transpose(Dense)	Dense	float	3000	3000	0.0342778
transpose(Dense)	Dense	float	4000	4000	0.0668368
transpose(Dense)	Dense	float	5000	5000	0.112603
transpose(Dense)	Dense	float	6000	6000	0.17897
transpose(Dense)	Dense	float	7000	7000	0.256992
transpose(Dense)	Dense	float	8000	8000	0.340027
transpose(Dense)	Dense	float	9000	9000	0.455025
transpose(Dense)	Dense	float	10000	10000	0.572527
transpose(Dense)	Dense	double	1000	1000	0.00328517
transpose(Dense)	Dense	double	2000	2000	0.013862
transpose(Dense)	Dense	double	3000	3000	0.0477971
transpose(Dense)	Dense	double	4000	4000	0.0952636
transpose(Dense)	Dense	double	5000	5000	0.169224
transpose(Dense)	Dense	double	6000	6000	0.266123
transpose(Dense)	Dense	double	7000	7000	0.393306
transpose(Dense)	Dense	double	8000	8000	0.650266
transpose(Dense)	Dense	double	9000	9000	0.710208
transpose(Dense)	Dense	double	10000	10000	0.852077
